384_Plate,ORF,Gene,Description,1536_coord
2A13,YEL033W,MTC7,"Protein of unknown function; predicted metabolic role based on network analysis derived from ChIP experiments, a large-scale deletion study and localization of transcription factor binding sites; null mutant is sensitive to temperature oscillation in a cdc13-1 mutant",01_01_26
1A14,YBR171W,SEC66,"Non-essential subunit of Sec63 complex; with Sec61 complex, Kar2p/BiP and Lhs1p forms a channel competent for SRP-dependent and post-translational SRP-independent protein targeting and import into the ER; other members are Sec63p, Sec62p, and Sec72p",01_01_27
2A14,YGL053W,PRM8,"Pheromone-regulated protein; contains with 2 predicted transmembrane segments and an FF sequence, a motif involved in COPII binding; forms a complex with Prp9p in the ER; member of DUP240 gene family; PRM8 has a paralog, PRM9, that arose from a segmental duplication",01_01_28
1A15,YAL023C,PMT2,"Protein O-mannosyltransferase of the ER membrane; transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; involved in ER quality control; acts in a complex with Pmt1p, can instead interact with Pmt5p; antifungal drug target; PMT2 has a paralog, PMT3, that arose from the whole genome duplication",01_01_29
2A15,YEL036C,ANP1,"Subunit of the alpha-1,6 mannosyltransferase complex; type II membrane protein; has a role in retention of glycosyltransferases in the Golgi; involved in osmotic sensitivity and resistance to aminonitrophenyl propanediol",01_01_30
1A16,YBR172C,SMY2,"GYF domain protein; involved in COPII vesicle formation; interacts with the Sec23p/Sec24p subcomplex; overexpression suppresses the temperature sensitivity of a myo2 mutant; similar to S. pombe Mpd2; SMY2 has a paralog, SYH1, that arose from the whole genome duplication",01_01_31
2A16,YGL054C,ERV14,"COPII-coated vesicle protein; involved in vesicle formation and incorporation of specific secretory cargo; required for the delivery of bud-site selection protein Axl2p and Nha1p antiporter to cell surface; related to Drosophila cornichon; ERV14 has a paralog, ERV15, that arose from the whole genome duplication",01_01_32
1A17,YAL026C,DRS2,"Trans-golgi network aminophospholipid translocase (flippase); maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation, endocytosis, protein trafficking between the Golgi and endosomal system and the cellular response to mating pheromone; autoinhibited by its C-terminal tail; localizes to the trans-Golgi network; mutations in human homolog ATP8B1 result in liver disease",01_01_33
2A17,YEL048C,TCA17,"Component of transport protein particle (TRAPP) complex II; TRAPPII is a multimeric guanine nucleotide-exchange factor for the GTPase Ypt1p, regulating intra-Golgi and endosome-Golgi traffic; promotes association of TRAPPII-specific subunits with the TRAPP core complex; sedlin related; human Sedlin mutations cause SEDT, a skeletal disorder",01_01_34
1A18,YBR183W,YPC1,"Alkaline ceramidase; also has reverse (CoA-independent) ceramide synthase activity; catalyzes both breakdown and synthesis of phytoceramide; overexpression confers fumonisin B1 resistance; YPC1 has a paralog, YDC1, that arose from the whole genome duplication",01_01_35
2A18,YGL055W,OLE1,Delta(9) fatty acid desaturase; required for monounsaturated fatty acid synthesis and for normal distribution of mitochondria,01_01_36
1A19,YAL028W,FRT2,"Tail-anchored ER membrane protein of unknown function; interacts with homolog Frt1p; promotes growth in conditions of high Na+, alkaline pH, or cell wall stress, possibly via a role in posttranslational translocation; potential Cdc28p substrate; FRT2 has a paralog, FRT1, that arose from the whole genome duplication",01_01_37
2A19,YEL051W,VMA8,Subunit D of the V1 peripheral membrane domain of V-ATPase; part of the electrogenic proton pump found throughout the endomembrane system; plays a role in the coupling of proton transport and ATP hydrolysis; the V1 peripheral membrane domain of the vacuolar H+-ATPase (V-ATPase) has eight subunits,01_01_38
1A20,YBR199W,KTR4,"Glycosyltransferase involved in protein glycosylation; transfers GDP-mannose to methyl-alpha-mannoside in vitro; member of the KRE2/MNT1 mannosyltransferase family of type II membrane proteins with a short cytoplasmic N-terminus, a membrane-spanning region and a highly conserved catalytic lumenal domain",01_01_39
2A20,YGL065C,ALG2,"Mannosyltransferase in the N-linked glycosylation pathway; catalyzes two consecutive steps in the N-linked glycosylation pathway; alg2 mutants exhibit temperature-sensitive growth and abnormal accumulation of the lipid-linked oligosaccharide Man2GlcNAc2-PP-Dol; human ALG2 complements the temperature sensitivity and dolichol-linked oligosaccharide biosynthesis defect of the alg2-1 mutant, but mutant form from a patient with CDG-Ii fails to complement",01_01_40
1A21,YAL030W,SNC1,"Vesicle membrane receptor protein (v-SNARE); involved in the fusion between Golgi-derived secretory vesicles with the plasma membrane; proposed to be involved in endocytosis; member of the synaptobrevin/VAMP family of R-type v-SNARE proteins; SNC1 has a paralog, SNC2, that arose from the whole genome duplication",01_01_41
2A21,YEL063C,CAN1,"Plasma membrane arginine permease; requires phosphatidyl ethanolamine (PE) for localization, exclusively associated with lipid rafts; mutation confers canavanine resistance; CAN1 has a paralog, ALP1, that arose from the whole genome duplication",01_01_42
1A22,YBR201C-A,YBR201C-A,Putative protein of unknown function,01_01_43
2A22,YGL067W,NPY1,NADH diphosphatase (pyrophosphatase); hydrolyzes the pyrophosphate linkage in NADH and related nucleotides; localizes to peroxisomes; nudix hydrolase family member,01_01_44
1A23,YAL035W,FUN12,Translation initiation factor eIF5B; GTPase that promotes Met-tRNAiMet binding to ribosomes and ribosomal subunit joining; promotes GTP-dependent maturation of 18S rRNA by Nob1p; protein abundance increases in response to DNA replication stress; homolog of bacterial IF2,01_01_45
2A23,YEL064C,AVT2,Putative transporter; member of a family of seven S. cerevisiae genes (AVT1-7) related to vesicular GABA-glycine transporters,01_01_46
1A24,YBR201W,DER1,ER membrane protein that promotes export of misfolded polypeptides; required for ER-associated protein degradation of misfolded or unassembled proteins; initiates export of aberrant polypeptides from ER lumen by threading them into ER membrane and routing them to Hrd1p for ubiquitylation; function normally requires N-terminal acetylation by NatB; N- and C- termini protrude into cytoplasm; similar to Dfm1p; homolog of mammalian derlin-1,01_01_47
2A24,YGL075C,MPS2,"Essential membrane protein localized at nuclear envelope and SPBs; required for insertion of the newly duplicated spindle pole body into the nuclear envelope; potentially phosphorylated by Cdc28p; MPS2 has a paralog, CSM4, that arose from the whole genome duplication",01_01_48
3A1,YJL123C,MTC1,Protein of unknown function that may interact with ribosomes; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and to COPI-coated vesicles (early Golgi); mtc1 is synthetically lethal with cdc13-1,01_02_01
4A1,YMR264W,CUE1,"Ubiquitin-binding protein; endoplasmic reticulum membrane protein that recruits the ubiquitin-conjugating enzyme Ubc7p to the ER where it functions in protein degradation; contains a CUE domain that binds ubiquitin to facilitate intramolecular monoubiquitination; CUE1 has a paralog, CUE4, that arose from the whole genome duplication",01_02_02
3A2,YKL146W,AVT3,Vacuolar transporter; exports large neutral amino acids from the vacuole; member of a family of seven S. cerevisiae genes (AVT1-7) related to vesicular GABA-glycine transporters,01_02_03
4A2,YNL321W,VNX1,Calcium/H+ antiporter localized to the endoplasmic reticulum membrane; member of the calcium exchanger (CAX) family; potential Cdc28p substrate,01_02_04
3A3,YJL127C-B,YJL127C-B,"Putative protein of unknown function; identified based on homology to the filamentous fungus, <i>Ashbya gossypii</i>; SWAT-GFP and seamless-GFP fusion proteins localize to the mitochondria",01_02_05
4A3,YMR266W,RSN1,Membrane protein of unknown function; overexpression suppresses NaCl sensitivity of sro7 mutant cells by restoring sodium pump (Ena1p) localization to the plasma membrane,01_02_06
3A4,YKL157W,APE2,"Aminopeptidase yscII; may have a role in obtaining leucine from dipeptide substrates; APE2 has a paralog, AAP1, that arose from the whole genome duplication",01_02_07
4A4,YNL323W,LEM3,Membrane protein of the plasma membrane and ER; interacts specifically in vivo with the phospholipid translocase (flippase) Dnf1p; involved in translocation of phospholipids and alkylphosphocholine drugs across the plasma membrane; null mutant requires tryptophan due to mislocalization of tryptophan permease Tat2p,01_02_08
3A5,YJL129C,TRK1,"Component of the Trk1p-Trk2p potassium transport system; 180 kDa high affinity potassium transporter; phosphorylated in vivo and interacts physically with the phosphatase Ppz1p, suggesting Trk1p acitivy is regulated by phosphorylation; TRK1 has a paralog, TRK2, that arose from the whole genome duplication",01_02_09
4A5,YMR272C,SCS7,"Sphingolipid alpha-hydroxylase; functions in the alpha-hydroxylation of sphingolipid-associated very long chain fatty acids, has both cytochrome b5-like and hydroxylase/desaturase domains, not essential for growth",01_02_10
3A6,YKL165C,MCD4,Protein involved in GPI anchor synthesis; multimembrane-spanning protein that localizes to the endoplasmic reticulum; highly conserved among eukaryotes; GPI stands for glycosylphosphatidylinositol,01_02_11
4A6,YNL326C,PFA3,Palmitoyltransferase for Vac8p; required for vacuolar membrane fusion; contains an Asp-His-His-Cys-cysteine rich (DHHC-CRD) domain; autoacylates; required for vacuolar integrity under stress conditions,01_02_12
3A7,YJL134W,LCB3,"Long-chain base-1-phosphate phosphatase; specific for dihydrosphingosine-1-phosphate, regulates ceramide and long-chain base phosphates levels, involved in incorporation of exogenous long chain bases in sphingolipids; LCB3 has a paralog, YSR3, that arose from the whole genome duplication",01_02_13
4A7,YMR274C,RCE1,Type II CAAX prenyl protease; involved in the proteolysis and maturation of Ras and the a-factor mating pheromone,01_02_14
3A8,YKL173W,SNU114,GTPase component of U5 snRNP involved in mRNA splicing via spliceosome; binds directly to U5 snRNA; proposed to be involved in conformational changes of the spliceosome; similarity to ribosomal translocation factor EF-2,01_02_15
4A8,YNL329C,PEX6,AAA-peroxin; heterodimerizes with AAA-peroxin Pex1p and participates in the recycling of peroxisomal signal receptor Pex5p from the peroxisomal membrane to the cystosol; mutations in human PEX6 can lead to severe peroxisomal disorders and early death,01_02_16
3A9,YJL139C,YUR1,"Mannosyltransferase involved in protein N-glycosylation; member of the KTR1 family; located in the Golgi apparatus; YUR1 has a paralog, KTR2, that arose from the whole genome duplication",01_02_17
4A9,YMR279C,YMR279C,"Putative boron transporter involved in boron efflux and resistance; overexpression mutant but not null mutant displays boron tolerance phenotype; identified as a heat-induced gene in a high-throughout screen; YMR279C is not an essential gene; YMR279C has a paralog, ATR1, that arose from the whole genome duplication",01_02_18
3A10,YKL174C,TPO5,Protein involved in excretion of putrescine and spermidine; putative polyamine transporter in the Golgi or post-Golgi vesicles,01_02_19
4A10,YNL336W,COS1,"Endosomal protein involved in turnover of plasma membrane proteins; member of the DUP380 subfamily of conserved, often subtelomeric COS genes; required for the multivesicular vesicle body sorting pathway that internalizes plasma membrane proteins for degradation; Cos proteins provide ubiquitin in trans for nonubiquitinated cargo proteins",01_02_20
3A11,YJL145W,SFH5,"Non-classical phosphatidylinositol transfer protein (PITP); exhibits PI- but not PC-transfer activity; localizes to the peripheral endoplasmic reticulum, cytosol and microsomes; similar to Sec14p; partially relocalizes to the plasma membrane upon DNA replication stress",01_02_21
4A11,YMR281W,GPI12,ER membrane protein involved in the second step of GPI anchor assembly; the second step is the de-N-acetylation of the N-acetylglucosaminylphosphatidylinositol intermediate; functional homolog of human PIG-Lp; GPI stands for glycosylphosphatidylinositol,01_02_22
3A12,YKL175W,ZRT3,Vacuolar membrane zinc transporter; transports zinc from storage in the vacuole to the cytoplasm when needed; transcription is induced under conditions of zinc deficiency,01_02_23
4A12,YNR002C,ATO2,"Putative transmembrane protein involved in export of ammonia; ammonia is a starvation signal that promotes cell death in aging colonies; phosphorylated in mitochondria; member of the TC 9.B.33 YaaH family; homolog of Y. lipolytica Gpr1p; ATO2 has a paralog, ADY2, that arose from the whole genome duplication",01_02_24
3A13,YJL091C,GWT1,"Protein involved in the inositol acylation of GlcN-PI; the inositol acylation of glucosaminyl phosphatidylinositol (GlcN-PI) forms glucosaminyl(acyl)phosphatidylinositol (GlcN(acyl)PI), an intermediate in the biosynthesis of glycosylphosphatidylinositol (GPI) anchors",01_02_25
4A13,YMR292W,GOT1,Homodimeric protein that is packaged into COPII vesicles; cycles between the ER and Golgi; involved in secretory transport but not directly required for aspects of transport assayed in vitro; may influence membrane composition,01_02_26
3A14,YKL178C,STE3,"Receptor for a factor pheromone; couples to MAP kinase cascade to mediate pheromone response; transcribed in alpha cells and required for mating by alpha cells, ligand bound receptors endocytosed and recycled to the plasma membrane; GPCR",01_02_27
4A14,YNR006W,VPS27,"Endosomal protein that forms a complex with Hse1p; required for recycling Golgi proteins, forming lumenal membranes and sorting ubiquitinated proteins destined for degradation; has Ubiquitin Interaction Motifs which bind ubiquitin (Ubi4p)",01_02_28
3A15,YNL131w,TOM22,Component of the TOM (Translocase of Outer Membrane) complex; responsible for initial import of mitochondrially directed proteins; mediates interaction between TOM and TIM complexes and acts as a receptor for precursor proteins,01_02_29
4A15,YMR296C,LCB1,"Component of serine palmitoyltransferase; responsible along with Lcb2p for the first committed step in sphingolipid synthesis, which is the condensation of serine with palmitoyl-CoA to form 3-ketosphinganine",01_02_30
3A16,YKL179C,COY1,Golgi membrane protein with similarity to mammalian CASP; genetic interactions with GOS1 (encoding a Golgi snare protein) suggest a role in Golgi function,01_02_31
4A16,YNR007C,ATG3,"E2-like enzyme; involved in autophagy and cytoplasm-to-vacuole targeting (Cvt) pathway; plays a role in formation of Atg8p-phosphatidylethanolamine conjugates, which are involved in membrane dynamics during autophagy and Cvt; interaction with Atg8p regulated by acetylation by NuA4 histone acetyltransferase Esa1p while attenuation of Atg3 acetylation is mediated by histone deacetylase Rpd3p; Atg12p-Atg5p conjugate enhances E2 activity of Atg3p by rearranging its catalytic site",01_02_32
3A17,YJL163C,YJL163C,Putative protein of unknown function,01_02_33
4A17,YMR298W,LIP1,"Ceramide synthase subunit; single-span ER membrane protein associated with Lag1p and Lac1p and required for ceramide synthase activity, null mutant grows extremely slowly and is defective in ceramide synthesis",01_02_34
3A18,YKL183C-A,YKL183C-A,Putative protein of unknown function; identified by fungal homology and RT-PCR,01_02_35
4A18,YNR008W,LRO1,Acyltransferase that catalyzes diacylglycerol esterification; one of several acyltransferases that contribute to triglyceride synthesis; Lro1p and Dga1p can O-acylate ceramides; putative homolog of human lecithin cholesterol acyltransferase,01_02_36
3A19,YBR086C,IST2,"Cortical ER protein involved in ER-plasma membrane tethering; one of 6 proteins (Ist2p, Scs2p, Scs22p, Tcb1p, Tcb2p, Tcb3p) that connect ER to the plasma membrane (PM) and regulate PM phosphatidylinositol-4-phosphate (PI4P) levels by controlling access of Sac1p phosphatase to its substrate PI4P in the PM; localizes to the mother cell in small-budded cells and to the bud in medium- and large-budded cells; mRNA is transported to the bud tip by an actomyosin-driven process",01_02_37
4A19,YMR300C,ADE4,Phosphoribosylpyrophosphate amidotransferase (PRPPAT); catalyzes first step of the 'de novo' purine nucleotide biosynthetic pathway; also known as amidophosphoribosyltransferase,01_02_38
3A20,YKL187C,FAT3,"Protein required for fatty acid uptake; protein abundance increases in cortical patches in response to oleate exposure; the authentic, non-tagged protein is detected in a phosphorylated state in highly purified mitochondria in high-throughput studies; FAT3 has a paralog, YLR413W, that arose from the whole genome duplication",01_02_39
4A20,YNR013C,PHO91,"Low-affinity vacuolar phosphate transporter; exports phosphate from the vacuolar lumen to the cytosol; regulates phosphate and polyphosphate metabolism; acts upstream of Pho81p in regulation of the PHO pathway; localizes to sites of contact between the vacuole and mitochondria (vCLAMPs); deletion of pho84, pho87, pho89, pho90, and pho91 causes synthetic lethality; transcription independent of Pi and Pho4p activity; overexpression results in vigorous growth",01_02_40
3A21,YJL170C,ASG7,Protein that regulates signaling from G protein beta subunit Ste4p; contributes to relocalization of Ste4p within the cell; specific to a-cells and induced by alpha-factor,01_02_41
4A21,YMR304W,UBP15,"Ubiquitin-specific protease involved in protein deubiquitination; forms a complex with AAA peroxins Pex1p and Pex6p; deubiquitinates mono- and polyubiquitinated forms of Pex5p; deubiquitinates Clb5p, counteracting APC activity, and facilitating both Clb5p accumulation and S phase entry; physically interacts with anaphase-promoting complex/cyclosome (APC/C) activator, Cdh1p; catalytic activity regulated by an N-terminal TRAF-like domain and and C-terminal sequences",01_02_42
3A22,YKL188C,PXA2,"Subunit of heterodimeric peroxisomal ABC transport complex, with Pxa1p; required for import of long-chain fatty acids into peroxisomes; similar to human adrenoleukodystrophy transportesr ABCD1 and ABCD2, and ALD-related proteins; mutations in ABCD1 cause X-linked adrenoleukodystrophy (X-ALD), a peroxisomal disorder; human ABCD1 and ABCD2 can each partially complement yeast pxa1 pxa2 double null mutant",01_02_43
4A22,YNR016C,ACC1,"Acetyl-CoA carboxylase, biotin containing enzyme; catalyzes carboxylation of cytosolic acetyl-CoA to form malonyl-CoA and regulates histone acetylation by regulating the availablity of acetyl-CoA; required for de novo biosynthesis of long-chain fatty acids; ACC1 has a paralog, HFA1, that arose from the whole genome duplication",01_02_44
3A23,YJL172W,CPS1,Vacuolar carboxypeptidase S; expression is induced under low-nitrogen conditions,01_02_45
4A23,YIL114C,POR2,"Putative mitochondrial porin (voltage-dependent anion channel); not required for mitochondrial membrane permeability or mitochondrial osmotic stability; POR2 has a paralog, POR1, that arose from the whole genome duplication",01_02_46
3A24,YKL196C,YKT6,"Vesicle membrane protein (v-SNARE) with acyltransferase activity; involved in trafficking to and within the Golgi, endocytic trafficking to the vacuole, and vacuolar fusion; membrane localization due to prenylation at the carboxy-terminus; human homolog YKT6 can complement yeast ykt6 mutant",01_02_47
4A24,YNR019W,ARE2,"Acyl-CoA:sterol acyltransferase; endoplasmic reticulum enzyme that contributes the major sterol esterification activity in the presence of oxygen; ARE2 has a paralog, ARE1, that arose from the whole genome duplication",01_02_48
1B1,YDL027C,MRX9,"Protein that associates with mitochondrial ribosome; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; YDL027C is not an essential gene",01_03_01
2B1,YGR147C,NAT2,Protein of unknown function; has an apparent role in acetylation of N-terminal methionine residues,01_03_02
1B2,Control-his3d-SWAT,None,#N/A,01_03_03
2B2,Control-his3d-SWAT,None,#N/A,01_03_04
1B3,YDL035C,GPR1,"Plasma membrane G protein coupled receptor (GPCR); interacts with the heterotrimeric G protein alpha subunit, Gpa2p, and with Plc1p; sensor that integrates nutritional signals with the modulation of cell fate via PKA and cAMP synthesis",01_03_05
2B3,YGR149W,YGR149W,Putative protein of unknown function; predicted to be an integal membrane protein,01_03_06
1B4,Control-his3d-GFPdC,None,#N/A,01_03_07
2B4,Control-his3d-GFPdC,None,#N/A,01_03_08
1B5,YDL052C,SLC1,"1-acyl-sn-glycerol-3-phosphate acyltransferase; catalyzes the acylation of lysophosphatidic acid to form phosphatidic acid, a key intermediate in lipid metabolism; enzymatic activity detected in lipid particles and microsomes",01_03_09
2B5,YGR152C,RSR1,"GTP-binding protein of the Ras superfamily; required for bud site selection, morphological changes in response to mating pheromone, and efficient cell fusion; localized to the plasma membrane; significantly similar to mammalian Rap GTPases",01_03_10
1B6,Control-URA+,None,#N/A,01_03_11
2B6,Control-URA+,None,#N/A,01_03_12
1B7,YDL054C,MCH1,Protein with similarity to mammalian monocarboxylate permeases; monocarboxylate permeases are involved in transport of monocarboxylic acids across the plasma membrane but mutant is not deficient in monocarboxylate transport,01_03_13
2B7,YGR154C,GTO1,Omega-class glutathione transferase; induced under oxidative stress; putative peroxisomal localization,01_03_14
1B8,YDR177W,UBC1,Ubiquitin-conjugating enzyme; key E2 partner with Ubc4p for the anaphase-promoting complex (APC); mediates selective degradation of short-lived and abnormal proteins; plays a role in vesicle biogenesis and ER-associated protein degradation (ERAD); component of the cellular stress response; protein abundance increases in response to DNA replication stress key E2 partner with Ubc4p for the anaphase-promoting complex (APC),01_03_15
2B8,YHR175W,CTR2,"Low-affinity copper transporter of the vacuolar membrane; mutation confers resistance to toxic copper concentrations, while overexpression confers resistance to copper starvation; regulated by nonsense-mediated mRNA decay pathway",01_03_16
1B9,YDL058W,USO1,Essential protein involved in vesicle-mediated ER to Golgi transport; binds membranes and functions during vesicle docking to the Golgi; required for assembly of the ER-to-Golgi SNARE complex,01_03_17
2B9,YGR157W,CHO2,Phosphatidylethanolamine methyltransferase (PEMT); catalyzes the first step in the conversion of phosphatidylethanolamine to phosphatidylcholine during the methylation pathway of phosphatidylcholine biosynthesis,01_03_18
1B10,YDR182W,CDC1,"Putative mannose-ethanolamine phosphate phosphodiesterase; involved in GPI-anchor remodeling prior to the attachment of cell wall proteins to beta 1,3-glucan, removing ethanolamine phosphate from the first mannose of GPI anchors; mutants display elevated Ca2+-dependent signaling resulting in secondary actin polarization and Golgi inheritance defects; enzyme is Mn2+-dependent; mutants have cell division cycle defect and fragile cell walls",01_03_19
2B10,YHR175W-A,YHR175W-A,Putative protein of unknown function; identified by fungal homology and RT-PCR,01_03_20
1B11,YDL065C,PEX19,Chaperone and import receptor for newly-synthesized class I PMPs; binds peroxisomal membrane proteins (PMPs) in the cytoplasm and delivers them to the peroxisome for subsequent insertion into the peroxisomal membrane; interacts with Myo2p and contributes to peroxisome partitioning,01_03_21
2B11,YGR163W,GTR2,Subunit of a TORC1-stimulating GTPase complex; subunit of the Gtr1-Gtr2 GTPase complex that stimulates TORC1 in response to amino acid stimulation; stimulates the GTPase activity of Gtr1p; negatively regulates the Ran/Tc4 GTPase cycle; activates transcription; tethered to the vacuolar membrane as part of the EGO complex (EGOC); required for sorting of Gap1p; activated by the the Lst4p-Lst7p GAP complex; localizes to cytoplasm and to chromatin; homolog of human RagC and,01_03_22
1B12,YDR189W,SLY1,Hydrophilic protein involved in ER/Golgi vesicle trafficking; SM (Sec1/Munc-18) family protein that binds the tSNARE Sed5p and stimulates its assembly into a trans-SNARE membrane-protein complex,01_03_23
2B12,YHR176W,FMO1,Flavin-containing monooxygenase; localized to the cytoplasmic face of the ER membrane; catalyzes oxidation of biological thiols to maintain the ER redox buffer ratio for correct folding of disulfide-bonded proteins,01_03_24
1B13,YDL072C,YET3,Protein of unknown function; YET3 null mutant decreases the level of secreted invertase; homolog of human BAP31 protein; protein abundance increases in response to DNA replication stress,01_03_25
2B13,YGR166W,TRS65,"Component of transport protein particle (TRAPP) complex II; TRAPPII is a multimeric guanine nucleotide-exchange factor for the GTPase Ypt1p, regulating intra-Golgi and endosome-Golgi traffic; role in cell wall beta-glucan biosynthesis and the stress response",01_03_26
